Username,Condition,Grade,Gender,ML,Sentence,word,num_ltrs,stop,sentiment,words_per_sentence
tas001,Consecutive,4,M,N,0,what,4,Y,NA,14
tas001,Consecutive,4,M,N,0,is,2,Y,NA,14
tas001,Consecutive,4,M,N,0,a,1,Y,NA,14
tas001,Consecutive,4,M,N,0,candle,6,N,NA,14
tas001,Consecutive,4,M,N,0,craft,5,N,positive,14
tas001,Consecutive,4,M,N,1,what,4,Y,NA,15
tas001,Consecutive,4,M,N,1,is,2,Y,NA,15
tas001,Consecutive,4,M,N,1,one,3,N,NA,15
tas001,Consecutive,4,M,N,1,day,3,N,NA,15
tas001,Consecutive,4,M,N,1,the,3,Y,NA,15
tas001,Consecutive,4,M,N,1,first,5,N,NA,15
tas001,Consecutive,4,M,N,1,the,3,Y,NA,15
tas001,Consecutive,4,M,N,1,second,6,N,NA,15
tas001,Consecutive,4,M,N,2,her,3,Y,NA,26
tas001,Consecutive,4,M,N,2,friend,6,N,joy,26
tas001,Consecutive,4,M,N,2,an,2,Y,NA,26
tas001,Consecutive,4,M,N,2,abstract,8,N,NA,26
tas001,Consecutive,4,M,N,2,artist,6,N,NA,26
tas001,Consecutive,4,M,N,2,what,4,Y,NA,26
tas001,Consecutive,4,M,N,2,kind,4,N,joy,26
tas001,Consecutive,4,M,N,2,of,2,Y,NA,26
tas001,Consecutive,4,M,N,2,painting,8,N,NA,26
tas001,Consecutive,4,M,N,2,is,2,Y,NA,26
tas001,Consecutive,4,M,N,2,it,2,Y,NA,26
tas001,Consecutive,4,M,N,3,your,4,Y,NA,22
tas001,Consecutive,4,M,N,3,opinion,7,N,NA,22
tas001,Consecutive,4,M,N,3,what,4,Y,NA,22
tas001,Consecutive,4,M,N,3,is,2,Y,NA,22
tas001,Consecutive,4,M,N,3,everyone,8,N,NA,22
tas001,Consecutive,4,M,N,3,supposed,8,N,NA,22
tas001,Consecutive,4,M,N,3,to,2,Y,NA,22
tas001,Consecutive,4,M,N,3,mean,4,N,NA,22
tas001,Consecutive,4,M,N,3,25,2,N,NA,22
tas001,Consecutive,4,M,N,3,kids,4,N,NA,22
tas001,Consecutive,4,M,N,3,27,2,N,NA,22
tas001,Consecutive,4,M,N,3,kids,4,N,NA,22
tas001,Consecutive,4,M,N,4,what,4,Y,NA,18
tas001,Consecutive,4,M,N,4,is,2,Y,NA,18
tas001,Consecutive,4,M,N,4,she,3,Y,NA,18
tas001,Consecutive,4,M,N,4,going,5,N,NA,18
tas001,Consecutive,4,M,N,4,to,2,Y,NA,18
tas001,Consecutive,4,M,N,4,share,5,N,anticipation,18
tas001,Consecutive,4,M,N,4,for,3,Y,NA,18
tas001,Consecutive,4,M,N,4,show,4,N,trust,18
tas001,Consecutive,4,M,N,4,and,3,Y,NA,18
tas001,Consecutive,4,M,N,4,tell,4,N,NA,18
tas001,Consecutive,4,M,N,5,what,4,Y,NA,11
tas001,Consecutive,4,M,N,5,kind,4,N,joy,11
tas001,Consecutive,4,M,N,5,of,2,Y,NA,11
